LCLid,tstp,energy(kWh/hh)
MAC000202,2013-01-01 00:00:00, 0.241 
MAC000202,2013-01-01 00:30:00, 0.219 
MAC000202,2013-01-01 01:00:00, 0.183 
MAC000202,2013-01-01 01:30:00, 0.183 
MAC000202,2013-01-01 02:00:00, 1.2180001 
MAC000202,2013-01-01 02:30:00, 0.606 
MAC000202,2013-01-01 03:00:00, 0.153 
MAC000202,2013-01-01 03:30:00, 0.154 
MAC000202,2013-01-01 04:00:00, 0.14 
MAC000202,2013-01-01 04:30:00, 0.126 
MAC000202,2013-01-01 05:00:00, 0.139 
MAC000202,2013-01-01 05:30:00, 0.115 
MAC000202,2013-01-01 06:00:00, 0.129 
MAC000202,2013-01-01 06:30:00, 0.113 
MAC000202,2013-01-01 07:00:00, 0.148 
MAC000202,2013-01-01 07:30:00, 0.151 
MAC000202,2013-01-01 08:00:00, 0.17 
MAC000202,2013-01-01 08:30:00, 0.169 
MAC000202,2013-01-01 09:00:00, 0.183 
MAC000202,2013-01-01 09:30:00, 0.322 
MAC000202,2013-01-01 10:00:00, 0.172 
MAC000202,2013-01-01 10:30:00, 0.174 
MAC000202,2013-01-01 11:00:00, 0.172 
MAC000202,2013-01-01 11:30:00, 0.16 
MAC000202,2013-01-01 12:00:00, 0.14 
MAC000202,2013-01-01 12:30:00, 0.158 
MAC000202,2013-01-01 13:00:00, 0.153 
MAC000202,2013-01-01 13:30:00, 0.153 
MAC000202,2013-01-01 14:00:00, 0.228 
MAC000202,2013-01-01 14:30:00, 0.172 
MAC000202,2013-01-01 15:00:00, 0.689 
MAC000202,2013-01-01 15:30:00, 0.252 
MAC000202,2013-01-01 16:00:00, 0.23 
MAC000202,2013-01-01 16:30:00, 0.25 
MAC000202,2013-01-01 17:00:00, 0.2 
MAC000202,2013-01-01 17:30:00, 4.5240002 
MAC000202,2013-01-01 18:00:00, 3.47 
MAC000202,2013-01-01 18:30:00, 0.261 
MAC000202,2013-01-01 19:00:00, 0.51 
MAC000202,2013-01-01 19:30:00, 0.295 
MAC000202,2013-01-01 20:00:00, 0.357 
MAC000202,2013-01-01 20:30:00, 0.312 
MAC000202,2013-01-01 21:00:00, 0.3 
MAC000202,2013-01-01 21:30:00, 0.284 
MAC000202,2013-01-01 22:00:00, 0.27 
MAC000202,2013-01-01 22:30:00, 0.248 
MAC000202,2013-01-01 23:00:00, 0.206 
MAC000202,2013-01-01 23:30:00, 0.199 
MAC000202,2013-01-02 00:00:00, 0.317 
MAC000202,2013-01-02 00:30:00, 0.216 
MAC000202,2013-01-02 01:00:00, 0.116 
MAC000202,2013-01-02 01:30:00, 0.061 
